"origin","total_departures","total_departing_passengers","year","month"
"ANV",52,126,2019,3
"ANV",55,101,2019,4
"ANV",67,137,2019,5
"ANV",59,99,2019,6
"ANV",58,144,2019,7
"ANV",63,242,2019,8
"ANV",67,151,2019,9
"ANV",70,153,2019,10
"ANV",32,78,2019,11
"ANV",50,102,2019,12
"AOH",1,0,2018,10
"AOH",1,0,2019,3
"AOH",1,0,2019,4
"AOH",4,0,2019,8
"AOO",100,191,2018,1
"AOO",92,210,2018,2
"AOO",97,219,2018,3
"AOO",106,261,2018,4
"AOO",112,283,2018,5
"AOO",111,345,2018,6
"AOO",114,424,2018,7
"AOO",116,498,2018,8
"AOO",107,449,2018,9
"AOO",111,414,2018,10
"AOO",103,401,2018,11
"AOO",111,389,2018,12
"AOO",103,215,2019,1
"AOO",83,152,2019,2
"AOO",110,235,2019,3
"AOO",110,235,2019,4
"AOO",115,299,2019,5
"AOO",110,303,2019,6
"AOO",117,374,2019,7
"AOO",115,428,2019,8
"AOO",111,294,2019,9
"AOO",115,400,2019,10
"AOO",110,351,2019,11
"AOO",108,365,2019,12
"APA",3,14,2018,1
"APA",3,9,2018,2
"APA",4,13,2018,3
"APA",1,5,2018,4
"APA",2,8,2018,5
"APA",6,40,2018,7
"APA",1,7,2018,8
"APA",8,33,2018,9
"APA",3,8,2018,10
"APA",3,5,2018,11
"APA",2,3,2018,12
"APA",4,13,2019,1
"APA",1,1,2019,2
"APA",5,16,2019,3
"APA",1,3,2019,4
"APA",5,16,2019,5
"APA",7,24,2019,6
"APA",2,7,2019,7
"APA",2,22,2019,8
"APA",2,1,2019,9
"APA",2,6,2019,10
"APA",5,20,2019,12
"APC",4,10,2018,1
"APC",6,27,2018,2
"APC",4,20,2018,3
"APC",14,54,2018,5
"APC",4,15,2018,6
"APC",13,52,2018,7
"APC",6,24,2018,8
"APC",3,19,2018,9
"APC",2,11,2018,10
"APC",1,5,2018,11
"APC",1,1,2018,12
"APC",2,4,2019,1
"APC",3,19,2019,2
"APC",4,18,2019,3
"APC",7,17,2019,4
"APC",89,22,2019,5
"APC",4,14,2019,6
"APC",1,0,2019,7
"APC",4,14,2019,8
"APC",7,14,2019,9
"APC",3,8,2019,10
"APC",2,13,2019,11
"APC",4,11,2019,12
"APF",10,18,2018,1
"APF",11,19,2018,2
"APF",11,32,2018,3
"APF",17,94,2018,4
"APF",10,46,2018,5
"APF",9,30,2018,6
"APF",1,5,2018,8
"APF",1,0,2018,10
"APF",3,1,2018,11
"APF",2,5,2018,12
