,Arrivals Busyness ID,Avg Daily Arrivals (Month and Weekday)
688,A-ACY-6-2,8.375
689,A-ACY-6-3,7.75
690,A-ACY-6-4,8.333333333333334
691,A-ACY-6-5,8.5
692,A-ACY-6-6,7.777777777777778
693,A-ACY-7-0,8.0
694,A-ACY-7-1,7.5
695,A-ACY-7-2,8.444444444444445
696,A-ACY-7-3,7.5
697,A-ACY-7-4,8.0
698,A-ACY-7-5,8.5
699,A-ACY-7-6,7.555555555555555
700,A-ACY-8-0,8.0
701,A-ACY-8-1,7.5
702,A-ACY-8-2,8.555555555555555
703,A-ACY-8-3,7.5
704,A-ACY-8-4,8.0
705,A-ACY-8-5,8.444444444444445
706,A-ACY-8-6,7.5
707,A-ACY-9-0,8.333333333333334
708,A-ACY-9-1,6.375
709,A-ACY-9-2,6.625
710,A-ACY-9-3,8.0
711,A-ACY-9-4,8.5
712,A-ACY-9-5,8.555555555555555
713,A-ACY-9-6,7.9
714,A-ADK-1-2,1.0
715,A-ADK-1-5,1.0
716,A-ADK-10-2,1.0
717,A-ADK-10-5,1.0
718,A-ADK-11-2,1.0
719,A-ADK-11-5,1.0
720,A-ADK-12-2,1.0
721,A-ADK-12-5,1.0
722,A-ADK-2-2,1.0
723,A-ADK-2-5,1.0
724,A-ADK-3-2,1.0
725,A-ADK-3-5,1.0
726,A-ADK-4-2,1.0
727,A-ADK-4-5,1.0
728,A-ADK-5-2,1.0
729,A-ADK-5-5,1.0
730,A-ADK-6-2,1.0
731,A-ADK-6-5,1.0
732,A-ADK-7-2,1.0
733,A-ADK-7-5,1.0
734,A-ADK-8-2,1.0
735,A-ADK-8-5,1.0
736,A-ADK-9-2,1.0
737,A-ADK-9-5,1.0
738,A-ADQ-1-0,1.8888888888888888
739,A-ADQ-1-1,2.0
740,A-ADQ-1-2,1.0
741,A-ADQ-1-3,1.8888888888888888
742,A-ADQ-1-4,1.875
743,A-ADQ-1-5,1.0
744,A-ADQ-1-6,1.75
745,A-ADQ-10-0,2.0
746,A-ADQ-10-1,2.0
747,A-ADQ-10-2,1.0
748,A-ADQ-10-3,2.0
749,A-ADQ-10-4,2.0
750,A-ADQ-10-5,1.0
751,A-ADQ-10-6,2.0
752,A-ADQ-11-0,2.0
753,A-ADQ-11-1,2.0
754,A-ADQ-11-2,1.0
