,,Different Marketer & Operator Carrier Code,Flight Number,Flight Year,Flight Month,Flight Day,Flight Weekday,Proportion of freight to the payload,Proportion of mail to the payload,Proportion of filled seats,Average payload (lbs),Average number of available seats,Distance interval (x500mi),Distance (miles),Scheduled Elapsed Time,Flights Count_origin,Average Flights Per Day_origin,Busyness Score_origin,Scheduled hour of departure,Precipitation (mm)_origin,Snowfall (mm)_origin,Maximum Temperature (*C)_origin,Avg Pressure for the day (hPa)_origin,Avg Wind Speed (m/s)_origin,Avg Humidity (%)_origin,Fog_origin,Thunder_origin,Smoke_or_Haze_origin,Flights Count_destination,Average Flights Per Day_destination,Busyness Score_destination,Scheduled hour of arrival,Precipitation (mm)_destination,Snowfall (mm)_destination,Maximum Temperature (*C)_destination,Avg Pressure for the day (hPa)_destination,Avg Wind Speed (m/s)_destination,Avg Humidity (%)_destination,Fog_destination,Thunder_destination,Smoke_or_Haze_destination,Departure Delay (minutes),Arrival Delay (minutes),Carrier Delay (minutes),Weather Delay (minutes),National Air System Delay (minutes),Security Delay (minutes),Late Aircraft Delay (minutes),cancelled,cancellation_code,diverted,Operator - Unique Carrier Code2_9E,Operator - Unique Carrier Code2_9K,Operator - Unique Carrier Code2_AA,Operator - Unique Carrier Code2_AS,Operator - Unique Carrier Code2_AX,Operator - Unique Carrier Code2_B6,Operator - Unique Carrier Code2_C5,Operator - Unique Carrier Code2_CP,Operator - Unique Carrier Code2_DL,Operator - Unique Carrier Code2_EM,Operator - Unique Carrier Code2_EV,Operator - Unique Carrier Code2_F9,Operator - Unique Carrier Code2_G4,Operator - Unique Carrier Code2_G7,Operator - Unique Carrier Code2_HA,Operator - Unique Carrier Code2_KS,Operator - Unique Carrier Code2_MQ,Operator - Unique Carrier Code2_NK,Operator - Unique Carrier Code2_OH,Operator - Unique Carrier Code2_OO,Operator - Unique Carrier Code2_PT,Operator - Unique Carrier Code2_QX,Operator - Unique Carrier Code2_UA,Operator - Unique Carrier Code2_VX,Operator - Unique Carrier Code2_WN,Operator - Unique Carrier Code2_YV,Operator - Unique Carrier Code2_YX,Operator - Unique Carrier Code2_ZW,Aircraft group2_4.0,Aircraft group2_6.0,Aircraft group2_UNK,Aircraft type2_432.0,Aircraft type2_441.0,Aircraft type2_482.0,Aircraft type2_530.0,Aircraft type2_608.0,Aircraft type2_612.0,Aircraft type2_614.0,Aircraft type2_622.0,Aircraft type2_623.0,Aircraft type2_624.0,Aircraft type2_626.0,Aircraft type2_627.0,Aircraft type2_629.0,Aircraft type2_631.0,Aircraft type2_634.0,Aircraft type2_638.0,Aircraft type2_655.0,Aircraft type2_656.0,Aircraft type2_673.0,Aircraft type2_675.0,Aircraft type2_676.0,Aircraft type2_677.0,Aircraft type2_678.0,Aircraft type2_687.0,Aircraft type2_694.0,Aircraft type2_696.0,Aircraft type2_698.0,Aircraft type2_699.0,Aircraft type2_721.0,Aircraft type2_722.0,Aircraft type2_723.0,Aircraft type2_887.0,Aircraft type2_888.0,Aircraft type2_UNK,Aircraft configuration2_1.0,Aircraft configuration2_2.0,Aircraft configuration2_UNK,Service class2_F,Service class2_G,Service class2_L,Service class2_UNK,Airport Type_origin2_large_airport,Airport Type_origin2_medium_airport,Airport Type_origin2_small_airport,Airport Type_destination2_large_airport,Airport Type_destination2_medium_airport,Airport Type_destination2_small_airport
98,Aircraft type2_656.0,-0.051949161,-0.035611915,0.001371286,0.001326528,0.004287203,-0.006801831,-0.005050908,0.016256495,0.022263346,0.041278879,0.051108143,-0.004094025,-0.002113148,-0.003222183,0.051333923,0.050623186,-0.000899815,0.001488884,0.002225589,-0.001424653,0.009277773,0.002465511,-0.004720578,0.002714609,0.001303841,,,0.045759521,0.044902242,0.000349721,0.000675143,0.009269919,-0.000662929,0.010192624,-0.000616736,-0.002273566,0.000296627,0.001220438,,,-0.004941146,-0.012271155,-0.003857986,-0.001599153,-0.008652741,-0.00111824,-0.005369008,,,,-0.012206773,-0.000837119,-0.024732785,-0.012470376,-0.006530445,-0.013038999,-0.005225415,-0.007439316,0.179402971,-0.002349584,-0.009633754,-0.008390579,-0.00767079,-0.006850795,-0.007172593,-0.000890049,-0.013466552,-0.01060763,-0.012703546,-0.02255789,-0.007887883,-0.008440971,-0.01991902,-0.002236398,-0.031047435,-0.011204548,-0.013918604,-0.007584774,-0.007085219,0.010125872,-0.007155199,-0.000890049,-0.002343077,-0.006617799,-0.000551956,-0.011474315,-0.028849572,-0.021916158,-0.009422593,-0.003460193,-0.002188098,-0.002488465,-0.003361447,-0.019470339,-0.014477604,-0.00146063,-0.01678617,-0.011436325,1,-0.021782677,-0.016306374,-0.007439316,-0.007584774,-0.00868338,-0.000629333,-0.018514425,-0.00250681,-0.016260306,-0.01838195,-0.002362545,-0.006945474,-0.003236185,-0.000246836,-0.01790345,-0.007155199,0.007412003,-0.001912732,-0.007155199,0.007479063,-0.001912732,-0.000987441,-0.007155199,0.004137491,-0.003703452,-0.003334014,-0.001567004,0.002038827,-0.003388661
99,Aircraft type2_673.0,0.419307588,0.329352229,0.011734513,0.006654056,0.001134554,-0.002874091,-0.020024122,-0.122457326,-0.054845078,-0.294918825,-0.324894895,-0.084254685,-0.078623122,-0.058032786,-0.025265617,-0.026040756,0.010486311,-0.004810077,-0.016644415,0.002934673,-0.025003842,-0.01780393,-0.012244958,-0.000963665,-0.004061923,,,-0.021023949,-0.020803497,0.012765638,0.008516261,-0.016160839,0.004034661,-0.025519188,-0.009489423,-0.006707743,-0.001719836,-0.004838991,,,-0.029098734,-0.006161493,-0.014737196,0.005009892,0.011748365,-0.001166729,-0.000933162,,,,-0.058116979,-0.003985558,-0.117753869,-0.059372002,-0.031091733,-0.062079245,-0.024878428,0.333544542,-0.121417595,-0.011186472,-0.033279221,-0.039947911,-0.036520964,-0.032616932,-0.034149026,-0.004237564,0.157412585,-0.050503387,-0.060482134,0.202755668,-0.037554556,0.107268018,-0.094835325,-0.010647586,-0.147818192,0.135046793,0.420964323,-0.03611144,-0.033733035,0.048209718,-0.034066216,-0.004237564,-0.01115549,-0.031507627,-0.002627886,-0.054629715,-0.137354071,-0.104343785,-0.044861378,-0.016474132,-0.01041763,-0.011847691,-0.016003997,-0.092699135,-0.068928503,-0.006954121,-0.079919689,-0.054448843,-0.021782677,1,-0.077635356,-0.035418907,-0.03611144,-0.041341952,-0.00299628,-0.088147984,-0.011935034,-0.077416028,-0.087517266,-0.011248181,-0.033067704,-0.015407619,-0.001175195,-0.085239104,-0.034066216,0.03528887,-0.009106598,-0.034066216,0.035608147,-0.009106598,-0.004701249,-0.034066216,-0.007992148,0.009221044,-0.007983732,-0.002257515,0.00337721,-0.007457215
100,Aircraft type2_675.0,0.313890993,0.220338746,0.014873656,0.009754399,0.000691533,0.003082747,-0.024356895,-0.120236577,-0.077131891,-0.343882504,-0.361044401,-0.148659678,-0.157375099,-0.140996809,-0.036502924,-0.036677898,0.003643684,0.004209769,0.006405249,0.009062657,-0.04636395,0.002066562,0.006016077,0.050121914,0.020044776,,,-0.034978639,-0.035309844,0.002406157,0.008790424,0.006109271,0.007209233,-0.049457294,0.002241563,0.005314781,0.046820221,0.015972348,,,-0.011282615,0.017849924,0.007808007,-0.000141201,0.024043994,-0.001532861,0.012800491,,,,-0.043506001,-0.002983564,-0.088149797,-0.044445503,0.335713494,-0.046472128,0.308274472,-0.026514368,-0.090892439,-0.008374122,0.455553859,-0.029904752,-0.027339361,-0.024416828,-0.025563744,-0.003172213,0.239062468,-0.037806514,-0.045276541,-0.080398283,0.478395717,-0.030084354,-0.070993121,-0.007970715,-0.110655758,-0.039933982,-0.049607115,-0.027032794,-0.025252335,0.036089488,-0.025501753,-0.003172213,-0.008350929,-0.023586409,-0.001967218,-0.040895457,-0.102822384,-0.078111094,-0.033582943,-0.01233243,-0.007798572,-0.008869106,-0.011980491,-0.069393983,-0.051599439,-0.005205811,-0.059827371,-0.040760058,-0.016306374,-0.077635356,1,-0.026514368,-0.027032794,-0.030948322,-0.002242996,-0.06598702,-0.00893449,-0.057953146,-0.065514869,-0.008420316,-0.024754273,-0.011534046,-0.000879743,-0.063809451,-0.025501753,0.026417024,-0.006817142,-0.025501753,0.023178031,-0.006817142,0.022511078,-0.025501753,-0.104173954,0.101902784,0.014268698,-0.100250814,0.097174191,0.019502395
101,Aircraft type2_676.0,0.143203773,0.060966692,-0.002349713,-0.001068265,-0.002635764,-0.00212776,-0.016690867,-0.083482213,-0.11967203,-0.150129216,-0.162233368,-0.076066163,-0.078893309,-0.073581313,-0.007707714,-0.008797597,0.010834086,0.00322849,0.002478951,-0.009267207,0.015249483,0.025824114,0.01312209,0.029968117,-0.00512527,,,-0.011955437,-0.013336414,0.013430608,0.003209981,0.004210108,-0.00773808,0.018386146,0.02583433,0.012311472,0.027960224,-0.009918099,,,-0.007603476,0.00706398,-0.00432756,0.00214206,0.006780864,-0.001065759,0.008882534,,,,-0.019848366,-0.001361165,-0.040215819,-0.020276988,-0.010618586,-0.021201577,-0.00849659,-0.012096421,-0.041467071,-0.003820453,-0.015664605,-0.013643186,-0.0124728,-0.011139478,-0.011662726,-0.001447231,0.55242914,-0.017248139,-0.020656125,-0.036679413,-0.012825797,-0.013725124,-0.032388577,-0.00363641,-0.050483519,-0.018218735,-0.022631825,-0.012332938,-0.011520654,0.016464795,-0.011634444,-0.001447231,-0.003809872,-0.010760623,-0.000897487,-0.018657381,-0.046909767,-0.035635949,-0.015321255,-0.005626318,-0.003557875,-0.004046275,-0.005465756,-0.031659016,-0.023540766,-0.002375002,-0.027294524,-0.018595608,-0.007439316,-0.035418907,-0.026514368,1,-0.012332938,-0.014119285,-0.001023303,-0.030104687,-0.004076105,-0.026439463,-0.029889282,-0.003841528,-0.011293428,-0.005262078,-0.000401358,-0.029111234,-0.011634444,0.01205201,-0.003110126,-0.011634444,0.012161051,-0.003110126,-0.001605591,-0.011634444,-0.047568284,0.048554728,-0.005421149,-0.052390803,0.053422116,-0.005510005
102,Aircraft type2_677.0,0.146003783,0.09132688,0.002695113,0.003625723,0.001687135,0.001450387,,-0.044100258,-0.038236636,-0.083806464,-0.110820787,-0.024835149,-0.024788014,-0.011963297,0.000861037,0.000756696,0.000853962,-0.004394479,0.006784011,0.001910891,-0.023389264,0.013305296,0.02438252,0.007700455,0.000907859,,,-0.005758082,-0.005664079,-7.23E-05,-0.003162183,0.010108058,0.005165725,-0.024789231,0.016219768,0.024660218,0.011586791,0.010075311,,,-0.010672972,-0.008605449,-0.00613226,-0.000825774,0.014607917,-0.001853825,-0.003593531,,,,-0.020236454,-0.00138778,-0.041002145,-0.020673456,-0.010826207,-0.021616123,-0.008662721,-0.012332938,-0.042277862,-0.003895153,-0.015970889,-0.013909946,-0.012716676,-0.011357284,-0.011890763,-0.001475529,-0.022324923,-0.017585385,-0.021060006,-0.037396592,-0.013076575,-0.013993487,-0.033021859,-0.003707512,-0.051470605,-0.018574959,0.544937843,-0.012574079,-0.011745914,0.016786725,-0.011861928,-0.001475529,-0.003884365,-0.010971022,-0.000915035,-0.019022181,-0.047826976,-0.036332725,-0.015620826,-0.005736327,-0.003627441,-0.004125391,-0.005572626,-0.032278033,-0.02400105,-0.00242144,-0.027828204,-0.018959202,-0.007584774,-0.03611144,-0.027032794,-0.012332938,1,-0.014395354,-0.001043311,-0.030693313,-0.004155804,-0.026956424,-0.030473696,-0.00391664,-0.011514244,-0.005364965,-0.000409205,-0.029680435,-0.011861928,0.012287659,-0.003170937,-0.011861928,0.012398832,-0.003170937,-0.001636985,-0.011861928,0.017405098,-0.018868068,0.011591848,0.014947408,-0.016544406,0.012429702
103,Aircraft type2_678.0,-0.098595764,-0.092090563,-0.003793919,7.70E-05,-0.000707975,-0.007179147,-0.016423894,-0.058179334,-0.040269221,-0.031121331,-0.038754361,-0.072458067,-0.067250226,-0.058111277,-0.013445154,-0.014661282,0.010086106,-0.001105677,0.015306595,0.003766513,-0.019580455,0.07694369,0.037978265,0.014065458,0.019937639,,,-0.013359912,-0.015158266,0.019117953,-0.00057317,0.012877636,0.010452215,-0.01758064,0.077816746,0.038322632,0.012909183,0.015018808,,,0.000817059,0.005294259,0.012258649,-0.001187315,0.009435857,0.000251805,0.008532584,,,,-0.023167576,-0.001588791,0.075164738,-0.023667874,-0.012394314,0.4540637,-0.009917461,-0.014119285,-0.048401541,-0.004459341,-0.018284171,-0.015924714,-0.014558606,-0.013002314,-0.013613064,-0.00168925,-0.025558545,-0.020132516,-0.024110414,-0.04281325,-0.014970634,-0.016020354,-0.037804865,-0.004244521,-0.058925794,-0.021265424,-0.026416507,-0.014395354,-0.013447234,0.019218175,-0.013580053,-0.00168925,-0.004446991,-0.012560105,-0.001047572,-0.021777423,-0.054754409,-0.041595289,-0.017883403,-0.006567198,-0.004152852,-0.004722927,-0.006379785,-0.036953301,-0.027477449,-0.00277217,-0.031858942,-0.021705321,-0.00868338,-0.041341952,-0.030948322,-0.014119285,-0.014395354,1,-0.001194428,-0.035139044,-0.004757745,-0.03086089,-0.034887617,-0.00448394,-0.013182009,-0.006142046,-0.000468476,-0.033979457,-0.013580053,0.014067448,-0.003630227,-0.013580053,0.014194723,-0.003630227,-0.001874092,-0.013580053,0.042469953,-0.042091701,-0.004183316,0.044138879,-0.043893985,-0.003266448
104,Aircraft type2_687.0,-0.007145782,-0.009378137,0.003468113,0.000657113,-0.000368041,-0.001541308,0.029764547,0.009262934,0.013736144,0.046509356,0.039421942,0.061611522,0.058587027,0.055372803,0.006798616,0.007430161,-0.000963987,-0.001207879,0.012311827,-0.001067606,0.0040028,0.001940171,0.000997709,0.000933218,0.002769331,,,0.00566853,0.005313045,-0.000385539,-0.005782334,0.005216189,-0.001072932,0.005883274,0.003284315,0.003674073,-0.000312355,-0.001089499,,,0.001349143,-0.005319691,0.001784946,-0.000602703,-0.000739005,-0.000153818,-0.002167245,,,,-0.001679083,-0.000115148,-0.003402078,-0.001715342,-0.000898285,-0.001793558,-0.000718773,-0.001023303,0.024677481,-0.000323193,-0.001325155,-0.001154152,-0.001055143,-0.00094235,-0.000986614,-0.000122429,-0.001852369,-0.001459115,-0.001747415,-0.003102914,-0.001085005,-0.001161084,-0.002739928,-0.000307624,-0.004270679,-0.001541223,-0.001914551,-0.001043311,-0.000974596,0.001392848,-0.000984222,-0.000122429,-0.000322298,-0.0009103,-7.59E-05,-0.001578331,-0.003968356,-0.003014641,-0.001296109,-0.000475961,-0.00030098,-0.000342297,-0.000462378,-0.002678211,-0.001991443,-0.000200914,-0.002308994,-0.001573105,-0.000629333,-0.00299628,-0.002242996,-0.001023303,-0.001043311,-0.001194428,1,-0.002546721,-0.00034482,-0.00223666,-0.002528499,-0.000324976,-0.000955373,-0.000445148,-3.40E-05,-0.00246268,-0.000984222,0.001019546,-0.000263103,-0.000984222,0.00102877,-0.000263103,-0.000135826,-0.000984222,0.00460602,-0.004567185,-0.000458605,0.004586417,-0.004546963,-0.000466122
105,Aircraft type2_694.0,-0.210222726,-0.229774747,0.004223637,-0.00325049,0.001492359,0.005857317,-0.008070635,0.069110733,0.052189634,0.20484939,0.208823955,0.096695448,0.089274094,0.084392284,-0.03645589,-0.036309106,0.01148056,-0.010840479,0.007486232,-0.007334232,0.022075219,0.047076703,0.008553362,0.00312481,-0.001503238,,,-0.036826951,-0.036746808,0.012696784,-0.00266789,0.010056436,-0.002686777,0.019604544,0.050856382,0.007154134,0.01376753,0.001722718,,,0.002326103,0.003546658,-0.000440875,-0.001452941,0.018956787,0.002861002,0.000502629,,,,-0.049397162,-0.003387569,-0.032552996,0.06582989,-0.026426759,0.304997305,-0.021145692,-0.030104687,-0.019393998,-0.009508064,-0.038984922,-0.032241877,0.226783779,-0.027723118,-0.029025338,-0.003601764,-0.054495111,0.303700773,-0.051407452,-0.09128504,-0.031919905,-0.034158085,0.122029441,-0.009050032,-0.125639689,-0.045341455,-0.05632443,-0.030693313,-0.028671762,0.040976377,-0.028954953,-0.003601764,-0.009481731,-0.026780252,-0.0022336,-0.046433124,-0.116745596,-0.088688142,-0.038130419,-0.014002368,-0.008854579,-0.010070074,-0.013602773,-0.078790644,-0.058586535,-0.005910731,-0.067928614,-0.04627939,-0.018514425,-0.088147984,-0.06598702,-0.030104687,-0.030693313,-0.035139044,-0.002546721,1,-0.010144312,-0.0658006,-0.074386258,-0.009560514,-0.028106257,-0.013095875,-0.00099887,-0.072449909,-0.028954953,0.029994161,-0.007740253,-0.028954953,0.029547412,-0.007740253,0.00137876,-0.028954953,0.03205849,-0.030777862,-0.010301072,0.031740837,-0.030696152,-0.008480422
106,Aircraft type2_696.0,-0.028463672,-0.05295036,-0.001880121,-0.000305878,0.001255748,-0.002251605,0.077995391,-0.016297404,0.009099562,0.195512025,0.130450249,0.128691283,0.129693591,0.120301944,-0.009438237,-0.00901031,0.000104066,0.004409824,0.014071778,-0.0043315,0.016048424,0.015969914,0.009778969,-0.006003502,-0.004197447,,,-0.00823732,-0.00783615,0.00131099,0.009174788,0.005014216,-0.003575779,0.015056128,0.018205627,0.006054681,-0.007346889,-0.00576822,,,0.00014213,0.010789947,0.024305906,-0.002400735,-0.008651679,-0.000612699,-0.006214023,,,,-0.006688262,-0.000458669,-0.011320231,-0.006832693,-0.003578122,-0.00714425,-0.002863078,-0.004076105,-0.013973071,-0.00128737,-0.005278468,-0.004597315,-0.004202933,-0.003753646,0.342635816,-0.00048767,-0.007378512,-0.005812069,-0.00696045,-0.012359784,-0.004321881,-0.004624926,-0.01091391,-0.001225353,-0.017011324,-0.006139128,-0.007626198,-0.004155804,-0.00388209,0.005548107,-0.003920434,-0.00048767,-0.001283804,-0.003625984,-0.000302424,-0.006286938,-0.015807084,-0.01200817,-0.005162771,-0.001895888,-0.001198889,-0.001363465,-0.001841784,-0.010668071,-0.007932482,-0.000800299,-0.009197377,-0.006266123,-0.00250681,-0.011935034,-0.00893449,-0.004076105,-0.004155804,-0.004757745,-0.00034482,-0.010144312,1,-0.008909249,-0.010071728,-0.001294472,-0.003805522,-0.001773151,-0.000135245,-0.00980955,-0.003920434,0.00406114,-0.001048012,-0.003920434,-0.002489979,-0.001048012,0.048764507,-0.003920434,0.005225282,-0.005002759,-0.001826753,0.007835049,-0.007622599,-0.001856695
107,Aircraft type2_698.0,-0.184628255,-0.178542628,0.007835762,0.003905526,0.00055706,-0.000312313,-0.022777318,0.065973954,0.00392976,0.145541176,0.127763132,0.024255408,0.023731887,0.021187032,0.011331925,0.010431156,0.017057801,0.002699562,-0.000732343,0.004210694,0.012874515,0.013169319,-0.011267284,-0.002434495,0.005455412,,,0.002811792,0.002279263,0.013771737,-0.001552703,0.002339057,0.002490478,0.013008124,0.007194464,-0.012768787,-0.005251591,0.00651305,,,-0.006744685,-0.003579657,0.001046087,0.002655505,-0.001378653,-0.002474959,0.000334472,,,,-0.043383092,-0.002975135,0.180894046,0.024365263,-0.023209319,-0.046340839,-0.018571218,-0.026439463,0.007350168,-0.008350464,-0.034238535,0.017424789,0.17788996,-0.024347848,-0.025491523,-0.003163251,-0.047860369,0.089976333,-0.04514863,-0.080171149,-0.028033679,-0.029999362,0.153661665,-0.007948197,-0.110343144,-0.039821165,-0.049466969,-0.026956424,-0.025180995,0.035987532,-0.025429708,-0.003163251,-0.008327337,-0.023519775,-0.001961661,-0.040779923,-0.1025319,-0.077890422,-0.033488067,-0.01229759,-0.00777654,-0.00884405,-0.011946645,-0.069197937,-0.051453665,-0.005191104,-0.059658352,-0.040644906,-0.016260306,-0.077416028,-0.057953146,-0.026439463,-0.026956424,-0.03086089,-0.00223666,-0.0658006,-0.008909249,1,-0.065329782,-0.008396528,-0.024684339,-0.011501461,-0.000877258,-0.063629183,-0.025429708,0.026342393,-0.006797882,-0.025429708,0.026580726,-0.006797882,-0.003509383,-0.025429708,0.038393818,-0.037714379,-0.005890652,0.038638568,-0.038012931,-0.005594197
108,Aircraft type2_699.0,-0.208718537,-0.200638547,-0.005679036,-0.008641385,0.000799235,0.003323765,-0.008101287,-0.077293419,0.160414392,0.2729906,0.276146132,0.237244115,0.240340043,0.246242741,0.111292738,0.114798106,-0.01953411,-0.000726487,0.001646603,-0.009885614,0.034904945,0.056071032,0.022450094,-0.036933414,-0.011605443,,,0.117203323,0.120311006,-0.019805893,-0.009562935,0.00129753,-0.008085448,0.033539719,0.055203059,0.019206046,-0.035992425,-0.008025229,,,0.019218699,-0.000475522,0.004985734,0.005468464,0.016570732,0.001700547,-0.011332277,,,,-0.049043715,-0.00336333,0.351333898,-0.050102803,-0.02623767,0.110404504,-0.02099439,-0.029889282,0.08245031,-0.009440032,-0.038705977,0.064925544,-0.030819285,-0.027524753,-0.028817656,-0.003575992,-0.054105187,0.107962468,-0.05103962,-0.090631875,-0.031691512,-0.033913677,-0.080029566,-0.008985277,-0.12474071,-0.045017027,-0.055921416,-0.030473696,-0.028466609,0.040683183,-0.028747774,-0.003575992,-0.009413887,-0.026588634,-0.002217618,-0.046100885,-0.115910255,-0.088053559,-0.037857588,-0.013902178,-0.008791222,-0.009998021,-0.013505442,-0.07822688,-0.058167336,-0.005868439,-0.06744257,-0.045948251,-0.01838195,-0.087517266,-0.065514869,-0.029889282,-0.030473696,-0.034887617,-0.002528499,-0.074386258,-0.010071728,-0.065329782,1,-0.009492107,-0.02790515,-0.013002171,-0.000991723,-0.071931514,-0.028747774,0.029779547,-0.00768487,-0.028747774,0.030048978,-0.00768487,-0.003967287,-0.028747774,0.121036463,-0.119832382,-0.013395222,0.122485531,-0.121272295,-0.013614778
109,Aircraft type2_721.0,-0.026825607,-0.048063561,-0.000224514,0.00483061,-0.001085531,0.001310871,0.012880101,-0.017108098,0.004909821,0.113819431,0.083816374,0.098715634,0.100132844,0.094142291,-0.020423456,-0.020195903,-0.004157577,0.015489717,0.002666242,-0.002099774,0.010378326,0.019277162,0.002181383,0.002676605,-0.004938665,,,-0.019252894,-0.019256254,-0.003201034,0.013289498,0.008626834,-0.000843252,0.01577085,0.020402902,0.011285662,0.003265726,-0.001777089,,,0.00365263,0.007139073,0.022323269,-0.001889635,-0.005776775,-0.000577439,-0.005269205,,,,-0.006303357,-0.000432273,-0.010404473,0.016039943,-0.003372204,-0.006733103,-0.00269831,-0.003841528,-0.01316893,-0.001213283,-0.004974696,-0.004332743,-0.003961057,-0.003537626,0.283881158,-0.000459605,-0.006953884,-0.005477588,-0.006559881,-0.011648487,-0.00407316,-0.004358765,-0.010285822,-0.001154835,-0.016032334,-0.005785826,-0.007187315,-0.00391664,-0.003658679,0.005228817,-0.003694816,-0.000459605,-0.001209922,-0.003417311,-0.00028502,-0.005925129,-0.014897397,-0.011317108,-0.004865657,-0.001786781,-0.001129894,-0.001284998,-0.001735791,-0.010054131,-0.007475973,-0.000754243,-0.008668075,-0.005905512,-0.002362545,-0.011248181,-0.008420316,-0.003841528,-0.00391664,-0.00448394,-0.000324976,-0.009560514,-0.001294472,-0.008396528,-0.009492107,1,-0.003586517,-0.001671108,-0.000127461,-0.009245018,-0.003694816,0.003827424,-0.0009877,-0.003694816,0.003862053,-0.0009877,-0.000509897,-0.003694816,-0.007190411,0.007462758,-0.001721625,-0.010696474,0.010992508,-0.001749843
110,Aircraft type2_722.0,-0.078862641,-0.09139102,0.016145024,0.006541223,0.00197363,0.004860949,,,0.050935547,0.142408643,0.104767809,0.05031079,0.048406865,0.049110957,0.003045932,0.003617817,0.001635836,-0.002899799,-0.008441872,-0.000638893,0.017306602,-0.083893511,-0.001065248,-0.025675087,0.005576418,,,0.004417866,0.003869926,0.012761647,0.000853753,-0.008924826,0.001307561,0.016282392,-0.083757448,0.001526372,-0.021612788,0.000935959,,,0.012896362,0.006088948,0.01237879,-0.004449303,0.008560801,-0.001697571,0.006654483,,,,-0.018530778,-0.001270808,-0.037546184,-0.018930946,-0.009913695,-0.019794159,-0.007932563,-0.011293428,-0.038714375,-0.003566841,-0.014624746,0.822406745,-0.011644822,-0.010400009,-0.010888522,-0.00135116,-0.020443215,-0.011821953,-0.019284915,-0.034244534,-0.011974386,-0.012814013,-0.030238536,-0.003395016,-0.047132286,-0.017009326,-0.021129463,-0.011514244,-0.010755882,0.015371817,-0.010862118,-0.00135116,-0.003556962,-0.010046304,-0.000837909,-0.017418853,-0.043795769,-0.033270338,-0.014304189,-0.005252828,-0.003321693,-0.003777673,-0.005102924,-0.029557405,-0.021978066,-0.002217343,-0.025482639,-0.017361182,-0.006945474,-0.033067704,-0.024754273,-0.011293428,-0.011514244,-0.013182009,-0.000955373,-0.028106257,-0.003805522,-0.024684339,-0.02790515,-0.003586517,1,-0.004912767,-0.000374714,-0.027178751,-0.010862118,0.011251965,-0.002903667,-0.010862118,0.010753889,-0.002903667,0.002990661,-0.010862118,0.021662462,-0.021248734,-0.003728619,0.019718087,-0.019949468,0.001412135
111,Aircraft type2_723.0,-0.036745386,-0.025906951,0.009893289,0.009598648,0.003782877,0.001203123,-0.005858706,0.018580539,-0.031456437,0.026669057,0.025444173,0.006981948,0.010395542,0.014690926,0.011696964,0.011061286,0.001496465,0.005148509,-0.006645586,-0.001405122,-0.004658373,-0.010741737,0.006848552,-0.007766024,-0.010183104,,,0.013312724,0.012673071,0.001589405,0.001660621,-0.005836896,-0.001210164,-0.007358158,-0.016782839,0.004519469,-0.009918874,-0.011899731,,,0.002432243,-0.003307377,-0.001457611,-0.003099247,0.006791928,-0.000790969,-0.003672591,,,,-0.008634261,-0.000592122,-0.01749433,-0.008820716,-0.004619203,-0.009222922,-0.003696111,-0.005262078,0.126897747,-0.00166194,-0.006814278,-0.005934938,-0.005425807,-0.004845797,-0.005073416,-0.000629562,-0.009525345,-0.007503133,-0.008985644,-0.015955954,-0.005579365,-0.005970582,-0.014089392,-0.001581879,-0.021960894,-0.007925353,-0.009845096,-0.005364965,-0.005011613,0.007162369,-0.005061113,-0.000629562,-0.001657337,-0.004680991,-0.000390417,-0.008116168,-0.020406271,-0.015502035,-0.006664917,-0.002447511,-0.001547715,-0.001760175,-0.002377665,-0.013772025,-0.010240495,-0.001033152,-0.011873422,-0.008089297,-0.003236185,-0.015407619,-0.011534046,-0.005262078,-0.005364965,-0.006142046,-0.000445148,-0.013095875,-0.001773151,-0.011501461,-0.013002171,-0.001671108,-0.004912767,1,-0.000174595,-0.012663711,-0.005061113,0.005242759,-0.001352939,-0.005061113,0.005290193,-0.001352939,-0.00069845,-0.005061113,0.023685299,-0.023485604,-0.00235826,0.023584499,-0.023381614,-0.002396913
